"time","yRising","yFalling","yEither"
7.6,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
7.62,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
7.64,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
7.66,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
7.68,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
7.7,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
7.72,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
7.74,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
7.76,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
7.78,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
7.8,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
7.82,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
7.84,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
7.86,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
7.88,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
7.9,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
7.92,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
7.94,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
7.96,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
7.98,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
8,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
8.02,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
8.04,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
8.06,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
8.08,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
8.1,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
8.12,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
8.14,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
8.16,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
8.18,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
8.2,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
8.22,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
8.24,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
8.26,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
8.28,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
8.3,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
8.32,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
8.34,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
8.36,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
8.38,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
8.4,-3.0481062110861179E-001,9.2002603819994255E-001,9.2002603819994255E-001
